判決字號,情事變更適用,是否為公共工程,施工地點,情事變更的原因,審級,約款類型,公共工程金額類型
最高法院 89.04.27. 八十九年度臺上字第967號民事判決,是,是,新北,天災或自然災害,最高法院,變更設計,查核金額
最高法院 88.05.07. 八十八年度臺上字第971號民事判決,是,是,臺北,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 88.04.09. 八十八年度臺上字第728號民事判決,是,是,新北,天災或自然災害,最高法院,變更設計,查核金額
最高法院 87.05.08. 八十七年度臺上字第1073號民事判決,是,是,臺中,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 85.12.27. 八十五年度臺上字第3078號民事判決,是,是,臺北,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 112.11.30. 一百十二年度臺上字第2401號民事判決,否,否,臺中,工期展延,最高法院,工期約定,
最高法院 113.02.01. 一百十二年度臺上字第2017號民事判決,否,是,臺中,人為因素,最高法院,物價,巨額採購
最高法院 112.05.25. 一百十年度臺上字第2616號民事判決,是,是,臺中,漏項,最高法院,變更設計,查核金額
最高法院 112.05.17. 一百十一年度臺上字第2521號民事判決,否,否,新竹,物價波動,最高法院,物價,
最高法院 112.02.08. 一百十一年度臺上字第2541號民事判決,是,是,新竹,天災或自然災害,最高法院,變更設計,查核金額
最高法院 111.11.16. 一百十一年度臺上字第2336號民事判決,否,是,臺中,物價波動,最高法院,物價,巨額採購
最高法院 111.09.28. 一百十一年度臺上字第1691號民事判決,是,否,花連,工期展延,最高法院,工期約定,
最高法院 111.09.21. 一百十年度臺上字第2328號民事判決,是,否,臺中,人為因素,最高法院,物價,
最高法院 111.07.28. 一百十一年度臺再字第11號民事判決,否,否,臺北,工期展延,最高法院,變更設計,
最高法院 111.07.21. 一百十一年度臺上字第537號民事判決,否,是,臺中,人為因素,最高法院,工期約定,巨額採購
最高法院 111.06.22. 一百十一年度臺上字第1120號民事判決,是,是,苗栗,物價波動,最高法院,變更設計,查核金額
最高法院 111.05.25. 一百十一年度臺上字第912號民事判決,是,是,嘉義,物價波動,最高法院,物價,巨額採購
最高法院 111.05.04. 一百十一年度臺上字第47號民事判決,否,是,臺中,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 111.04.28. 一百十年度臺上字第2733號民事判決,是,是,高雄,人為因素,最高法院,工期約定,巨額採購
最高法院 111.04.13. 一百十年度臺上字第1430號民事判決,否,是,新北,地質因素,最高法院,變更設計,巨額採購
最高法院 111.03.10. 一百零九年度臺上字第2852號民事判決,否,否,臺南,工期展延,最高法院,工期約定,
最高法院 110.12.29. 一百十年度臺上字第3186號民事判決,否,是,臺北,工期展延,最高法院,工期約定,查核金額
最高法院 110.12.22. 一百十年度臺上字第2933號民事判決,否,是,臺南,天災或自然災害,最高法院,工期約定,查核金額
最高法院 110.12.02. 一百十年度臺上字第620號民事判決,否,是,新竹,漏項,最高法院,物價,查核金額
最高法院 110.09.02. 一百零九年度臺上字第3141號民事判決,否,是,臺北,工期展延,最高法院,工期約定,巨額採購
最高法院 110.07.08. 一百十年度臺上字第824號民事判決,否,否,臺北,物價波動,最高法院,工期約定,
,,,,,,,
,,,,,,,
臺灣桃園地方法院 95 年度重訴字第 94 號民事判決,否,是,桃園,物價波動,地方法院,物價,查核金額
臺灣新竹地方法院 99 年度重訴字第 88 號民事判決,是,是,新竹,物價波動,地方法院,物價,查核金額
臺灣新竹地方法院 97 年度重訴字第 15 號民事判決,是,是,新竹,物價波動,地方法院,物價,查核金額
臺灣桃園地方法院 99 年度建字第 16 號民事判決,否,是,桃園,物價波動,地方法院,物價,查核金額
臺灣高雄地方法院 101 年度訴字第 2014 號民事判決,是,是,臺東,物價波動,地方法院,物價,公告金額
臺灣高等法院110年度艦上字第61號民事判決,否,是,臺南,物價波動,高等法院,物價,巨額採購
臺灣高等法院 105 年度建上更(二)字第 13 號民事判決,是,是,臺中,物價波動,高等法院,物價,巨額採購
臺灣高等法院 106 年建上字第 78 號民事判決,否,否,新竹,變更設計,高等法院,變更設計,
最高法院 107 年台上字第 839 號民事判決,是,是,臺中,物價波動,最高法院,物價,巨額採購
臺灣高等法院 高雄分院 104 年建上字第 4 號民事判決,是,是,高雄,物價波動,高等法院,物價,公告金額
臺灣高等法院 102 年建上字第 10 號民事判決,否,是,新北,物價波動,高等法院,物價,公告金額
臺灣高等法院 高雄分院 102 年建上字第 2 號民事判決,是,是,高雄,地質因素,高等法院,變更設計,公告金額
,,,,,,,
臺灣臺北地方法院 104 年建字第 414 號民事判決,否,是,臺北,變更設計,地方法院,變更設計,巨額採購
,,,,,,,
臺灣高等法院 95 年建上字第 90 號民事判決,否,是,新北,物價波動,高等法院,物價,巨額採購
,,,,,,,
,,,,,,,
臺灣嘉義地方法院 96 年建字第 14 號民事判決,否,是,嘉義,物價波動,地方法院,物價,查核金額
臺灣新北地方法院 95 年建字第 71 號民事判決,否,是,臺北,物價波動,地方法院,物價,查核金額
臺灣高等法院 97 年建上字第 82 號民事判決,否,是,新北,物價波動,高等法院,物價,查核金額
臺灣高等法院 98 年重上字第 706 號民事判決,否,是,桃園,物價波動,高等法院,物價,巨額採購
,,,,,,,
臺灣高等法院民事判決 111年度建上更三字第13號,是,是,新北,工期展延,高等法院,變更設計,查核金額
最高法院民事裁定 113年度台上字第127號,否,否,臺北,物價波動,最高法院,物價,
臺灣桃園地方法院民事判決 112年度建字第27號,否,是,桃園,物價波動,地方法院,物價,查核金額
臺灣高等法院民事判決 111年度建上字第33號,否,是,臺中,工期展延,高等法院,變更設計,查核金額
臺灣高等法院臺南分院民事判決 111年度建上字第28號,否,否,嘉義,物價波動,高等法院,物價,
